Employee ID,Date of Joining,Gender,Company Type,WFH Setup Available,Designation,Resource Allocation
fffe31003300390039003000,12/10/2008,Female,Service,No,2,5
fffe31003300310037003800,8/14/2008,Female,Product,Yes,1,2
fffe33003400380035003900,11/13/2008,Male,Product,Yes,1,3
fffe3100370039003200,2/7/2008,Female,Service,No,3,6
fffe32003600390036003700,7/17/2008,Female,Product,No,2,5
fffe3600390032003200,9/19/2008,Male,Product,No,3,5
fffe3600370032003200,1/16/2008,Female,Service,Yes,2,3
fffe32003900390030003000,2/10/2008,Male,Service,No,2,5
fffe3100370031003000,8/10/2008,Male,Product,Yes,2,5
fffe31003500320037003600,5/20/2008,Male,Product,Yes,2,5
fffe3400370031003100,12/17/2008,Male,Service,Yes,2,5
fffe32003800300035003300,3/26/2008,Female,Service,Yes,2,5
fffe31003700380037003700,2/27/2008,Male,Service,Yes,1,4
fffe33003400300038003900,2/1/2008,Female,Service,No,3,6
fffe33003100300039003600,6/9/2008,Female,Product,No,4,6
fffe33003400380038003300,12/8/2008,Male,Service,No,4,7
fffe33003400310032003500,9/18/2008,Female,Product,Yes,4,7
fffe33003400360032003000,5/6/2008,Male,Service,Yes,3,7
fffe32003800360033003400,8/23/2008,Female,Service,Yes,1,3
fffe3600350031003700,1/30/2008,Male,Service,Yes,3,4
fffe3200310033003500,10/18/2008,Female,Product,No,1,3
fffe370039003500,5/14/2008,Female,Product,No,1,1
fffe32003500340036003200,11/19/2008,Male,Service,No,2,4
fffe360038003200,5/3/2008,Female,Product,No,3,7
fffe31003800300039003900,11/15/2008,Female,Service,No,3,4
fffe32003500310034003200,4/23/2008,Female,Service,No,2,4
fffe33003100320039003300,10/6/2008,Female,Service,No,2,4
fffe33003000330034003700,3/1/2008,Female,Service,No,1,3
fffe32003500310039003300,5/3/2008,Female,Product,No,1,4
fffe31003500310033003200,7/31/2008,Female,Service,No,0,1
fffe31003900320038003800,3/16/2008,Male,Service,Yes,1,2
fffe31003400340039003000,10/27/2008,Male,Service,No,5,9
fffe390033003000,1/16/2008,Female,Service,Yes,1,2
fffe3700360033003400,2/12/2008,Female,Service,Yes,0,1
fffe31003700390034003900,3/26/2008,Female,Service,Yes,0,1
fffe31003700360035003900,4/12/2008,Male,Service,Yes,3,7
fffe31003200370037003900,5/6/2008,Female,Product,Yes,3,4
fffe31003400310038003500,4/13/2008,Female,Product,Yes,2,5
fffe32003200370033003000,11/9/2008,Male,Product,Yes,2,3
fffe31003300320036003300,3/31/2008,Female,Product,Yes,1,3
fffe3900390034003600,11/22/2008,Male,Service,No,2,4
fffe32003300310032003600,1/25/2008,Male,Product,No,1,1
fffe3500360039003300,3/9/2008,Female,Service,No,3,7
fffe3700340039003900,1/12/2008,Male,Product,Yes,4,7
fffe31003400370032003200,8/18/2008,Female,Service,No,1,4
fffe360032003200,12/16/2008,Male,Product,Yes,1,3
fffe33003100340030003600,5/4/2008,Male,Service,Yes,4,8
fffe31003500300037003700,10/14/2008,Male,Service,Yes,2,4
